scope,date,name,code,gas_in_storage_twh,working_gas_volume_twh,fill_pct,consumption_gwh_per_day,injection_gwh_per_day,withdrawal_gwh_per_day,net_withdrawal_gwh_per_day,injection_capacity_gwh_per_day,withdrawal_capacity_gwh_per_day,trend_pct,status,full_pct,source
DE,2025-11-01,Germany,DE,188.6759,251.1437,75.13,903.9,453.15,2.4,-450.8,4211.2,7086.73,0.18,C,75.13,GIE AGSI+ API v013
DE,2025-11-02,Germany,DE,188.9352,251.1437,75.23,903.9,286.89,34.8,-252.1,4211.2,7086.73,0.1,C,75.23,GIE AGSI+ API v013
DE,2025-11-03,Germany,DE,188.9506,251.1437,75.24,903.9,93.99,80.3,-13.7,4211.2,7086.73,0.01,C,75.24,GIE AGSI+ API v013
DE,2025-11-04,Germany,DE,189.1247,251.1437,75.31,903.9,186.57,10.3,-176.2,4211.2,7086.73,0.07,C,75.31,GIE AGSI+ API v013
DE,2025-11-05,Germany,DE,189.1609,251.1437,75.32,903.9,51.29,14.2,-37.1,4211.2,7086.73,0.01,C,75.32,GIE AGSI+ API v013
DE,2025-11-06,Germany,DE,188.747,251.1437,75.15,903.9,32.05,447.4,415.4,4211.2,7086.73,-0.16,C,75.15,GIE AGSI+ API v013
DE,2025-11-07,Germany,DE,188.2576,251.1437,74.96,903.9,3.82,499.3,495.5,4211.2,7086.73,-0.19,C,74.96,GIE AGSI+ API v013
DE,2025-11-08,Germany,DE,188.0595,251.1437,74.88,903.9,73.65,271.8,198.1,4211.2,7086.73,-0.08,C,74.88,GIE AGSI+ API v013
DE,2025-11-09,Germany,DE,187.9335,251.1437,74.83,903.9,66.02,192,126,4211.2,7086.73,-0.05,C,74.83,GIE AGSI+ API v013
DE,2025-11-10,Germany,DE,187.4961,251.1437,74.66,903.9,91.22,527.9,436.7,4211.2,7086.73,-0.17,C,74.66,GIE AGSI+ API v013
DE,2025-11-11,Germany,DE,187.5203,251.1437,74.67,903.9,181.12,146.8,-34.3,4211.2,7086.73,0.01,C,74.67,GIE AGSI+ API v013
DE,2025-11-12,Germany,DE,187.6351,251.1437,74.71,903.9,172.05,57.3,-114.8,4211.2,7086.73,0.05,C,74.71,GIE AGSI+ API v013
DE,2025-11-13,Germany,DE,187.6527,251.1437,74.72,903.9,106.92,89.2,-17.7,4211.2,7086.73,0.01,C,74.72,GIE AGSI+ API v013
DE,2025-11-14,Germany,DE,187.5467,251.1437,74.68,903.9,107.73,213.8,106,4211.2,7086.73,-0.04,C,74.68,GIE AGSI+ API v013
DE,2025-11-15,Germany,DE,187.5111,251.1437,74.66,903.9,97.59,133.2,35.6,4211.2,7086.73,-0.01,C,74.66,GIE AGSI+ API v013
DE,2025-11-16,Germany,DE,187.3973,251.1437,74.62,903.9,41.85,164.9,123,4211.2,7086.73,-0.05,C,74.62,GIE AGSI+ API v013
DE,2025-11-17,Germany,DE,186.5933,251.1437,74.3,903.9,17.11,823.4,806.3,4211.2,7086.73,-0.32,C,74.3,GIE AGSI+ API v013
DE,2025-11-18,Germany,DE,185.0321,251.1437,73.68,903.9,12.92,1244.1,1231.2,4211.2,7086.73,-0.62,C,73.68,GIE AGSI+ API v013
DE,2025-11-19,Germany,DE,183.7444,251.1437,73.16,903.9,15.97,1333.2,1317.2,4211.2,7086.73,-0.51,C,73.16,GIE AGSI+ API v013
DE,2025-11-20,Germany,DE,182.0119,251.1437,72.47,903.9,11.38,1743.7,1732.3,4211.2,7086.73,-0.69,C,72.47,GIE AGSI+ API v013
DE,2025-11-21,Germany,DE,180.0399,251.1437,71.69,903.9,3.32,1972.2,1968.9,4211.2,7086.73,-0.79,C,71.69,GIE AGSI+ API v013
DE,2025-11-22,Germany,DE,178.6885,251.1437,71.15,903.9,1.08,1375.3,1374.2,4211.2,7086.73,-0.54,C,71.15,GIE AGSI+ API v013
DE,2025-11-23,Germany,DE,177.4075,251.1437,70.64,903.9,20.82,1292.1,1271.3,4211.2,7086.73,-0.51,C,70.64,GIE AGSI+ API v013
DE,2025-11-24,Germany,DE,175.7549,251.1437,69.98,903.9,12.06,1670.9,1658.8,4211.2,7086.73,-0.66,C,69.98,GIE AGSI+ API v013
